,SEASON_ID,GAME_ID,GAME_DATE,HOME_TEAM,PTS_HOME,MIN_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,AWAY_TEAM,PTS_AWAY,MIN_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WINNING_TEAM,HOME_TEAM_ELO,AWAY_TEAM_ELO
17,22014,21400018,2014-10-30,CLE,90,240,32,70,0.457,9,24,0.375,17,20,0.85,11,22,33,22,5,2,19,15,-5.0,NYK,95,239,37,69,0.536,6,12,0.5,15,18,0.833,9,26,35,30,9,1,15,26,5.0,NYK,1498.43,1499.62
18,22014,21400020,2014-10-30,LAC,93,240,34,87,0.391,7,30,0.233,18,25,0.72,14,19,33,17,10,4,11,27,3.0,OKC,90,241,28,65,0.431,6,21,0.286,28,34,0.824,8,39,47,23,5,2,22,27,-3.0,LAC,1501.54,1498.4
19,22014,21400019,2014-10-30,DAL,120,241,47,85,0.553,8,21,0.381,18,23,0.783,13,31,44,25,8,5,9,15,18.0,UTA,102,241,36,83,0.434,14,35,0.4,16,18,0.889,15,25,40,22,6,0,16,21,-18.0,DAL,1500.29,1496.76
20,22014,21400021,2014-10-31,IND,89,241,34,74,0.459,8,21,0.381,13,16,0.813,11,35,46,19,5,3,18,15,-8.0,MEM,97,241,35,79,0.443,7,19,0.368,20,27,0.741,11,29,40,20,11,2,9,21,8.0,MEM,1500.04,1503.03
21,22014,21400026,2014-10-31,LAL,111,240,42,82,0.512,7,20,0.35,20,28,0.714,9,31,40,24,5,2,14,35,-7.0,LAC,118,239,34,71,0.479,12,33,0.364,38,44,0.864,6,30,36,25,6,2,14,26,7.0,LAC,1495.07,1502.98
22,22014,21400024,2014-10-31,PHX,94,240,35,87,0.402,2,18,0.111,22,26,0.846,12,38,50,15,2,5,7,21,5.0,SAS,89,239,32,78,0.41,8,25,0.32,17,23,0.739,5,40,45,20,3,3,12,25,-5.0,PHX,1503.3,1500.12
23,22014,21400025,2014-10-31,SAC,103,240,34,81,0.42,4,10,0.4,31,35,0.886,14,35,49,14,6,2,10,24,9.0,POR,94,240,34,83,0.41,9,26,0.346,17,19,0.895,10,28,38,20,5,8,10,26,-9.0,SAC,1499.91,1500.22
24,22014,21400022,2014-10-31,CHI,108,265,41,90,0.456,13,31,0.419,13,17,0.765,11,31,42,25,4,14,19,28,-6.0,CLE,114,265,41,104,0.394,3,15,0.2,29,33,0.879,20,32,52,18,8,4,9,18,6.0,CLE,1500.06,1499.84
25,22014,21400023,2014-10-31,MIL,93,240,36,88,0.409,9,24,0.375,12,21,0.571,15,40,55,25,10,11,18,19,12.0,PHI,81,240,32,86,0.372,5,23,0.217,12,22,0.545,12,30,42,20,9,5,16,18,-12.0,MIL,1500.33,1496.92
26,22014,21400038,2014-11-01,GSW,127,239,46,83,0.554,11,23,0.478,24,28,0.857,12,31,43,30,10,4,20,26,23.0,LAL,104,240,41,88,0.466,4,14,0.286,18,25,0.72,17,20,37,21,9,3,22,27,-23.0,GSW,1503.35,1493.41
