,TEAM,SEASON_ID,Average_PTS,Average_MIN,Average_FGM,Average_FGA,Average_FG_PCT,Average_FG3M,Average_FG3A,Average_FG3_PCT,Average_FTM,Average_FTA,Average_FT_PCT,Average_OREB,Average_DREB,Average_REB,Average_AST,Average_STL,Average_BLK,Average_TOV,Average_PF,Average_PLUS_MINUS
0,ATL,22014,102.54878048780488,240.6829268292683,38.0609756097561,81.6951219512195,0.46718292682926826,9.975609756097562,26.24390243902439,0.38014634146341464,16.451219512195124,21.158536585365855,0.7765121951219512,8.71951219512195,31.84146341463415,40.5609756097561,25.74390243902439,9.073170731707318,4.634146341463415,13.451219512195122,17.768292682926827,5.426829268292683
1,ATL,22015,102.84146341463415,241.7439024390244,38.63414634146341,84.42682926829269,0.4586219512195122,9.939024390243903,28.365853658536587,0.35164634146341467,15.634146341463413,19.975609756097562,0.7780121951219512,8.28048780487805,33.80487804878049,42.08536585365854,25.609756097560975,9.109756097560975,5.926829268292683,14.524390243902438,19.146341463414636,3.607317073170732
2,ATL,22016,103.15853658536585,242.5121951219512,38.08536585365854,84.3658536585366,0.4520975609756097,8.890243902439025,26.0609756097561,0.3413414634146341,18.097560975609756,24.865853658536587,0.726060975609756,10.26829268292683,34.0609756097561,44.329268292682926,23.634146341463413,8.195121951219512,4.841463414634147,15.23170731707317,18.18292682926829,-0.8536585365853658
3,ATL,22017,103.35365853658536,240.4268292682927,38.170731707317074,85.54878048780488,0.4477195121951219,11.182926829268293,31.024390243902438,0.36346341463414633,15.829268292682926,20.170731707317074,0.7870975609756097,9.060975609756097,32.84146341463415,41.90243902439025,23.731707317073173,7.7804878048780495,4.2439024390243905,14.975609756097562,19.585365853658537,-5.446341463414634
4,ATL,22018,113.34146341463415,241.97560975609755,41.36585365853659,91.7560975609756,0.4517804878048781,13.012195121951219,37.0,0.3509756097560976,17.597560975609756,23.390243902439025,0.7518170731707317,11.646341463414634,34.451219512195124,46.09756097560975,25.829268292682926,8.231707317073171,5.109756097560975,16.621951219512194,23.5609756097561,-6.024390243902438
5,ATL,22019,111.71836007130125,242.83645276292333,40.62566844919786,90.54545454545455,0.45015730837789664,12.016488413547236,36.08600713012478,0.33226158645276294,18.45053475935829,23.35873440285205,0.7884090909090908,9.860516934046345,33.373885918003566,43.23440285204991,23.946524064171122,7.813725490196079,5.086452762923351,15.749108734402853,23.09670231729055,-7.990196078431373
6,ATL,22020,113.69444444444446,241.72222222222223,40.79166666666667,87.23611111111111,0.4691388888888889,12.430555555555555,33.361111111111114,0.37019444444444444,19.680555555555557,24.23611111111111,0.8134444444444444,10.555555555555555,35.06944444444444,45.625,24.125,6.986111111111111,4.75,12.694444444444445,19.333333333333336,2.3638888888888885
7,ATL,22021,113.9390243902439,240.5,41.47560975609756,88.3048780487805,0.4711341463414634,12.878048780487806,34.40243902439025,0.3717439024390244,18.109756097560975,22.304878048780488,0.8117682926829268,10.036585365853659,33.9390243902439,43.97560975609756,24.597560975609756,7.158536585365853,4.2439024390243905,11.26829268292683,18.70731707317073,1.5609756097560976
8,ATL,22022,118.42682926829269,242.1707317073171,44.609756097560975,92.3658536585366,0.4843292682926829,10.75609756097561,30.548780487804876,0.353390243902439,18.451219512195124,22.5609756097561,0.8196585365853658,11.21951219512195,33.15853658536585,44.3780487804878,24.98780487804878,7.073170731707317,4.890243902439025,12.353658536585366,18.79268292682927,0.42439024390243907
9,ATL,22023,120.72488038277513,241.66148325358853,43.3433014354067,92.9031100478469,0.46810406698564594,13.69976076555024,37.75239234449761,0.3636208133971292,20.338516746411486,24.95095693779904,0.8179354066985646,12.989234449760765,31.732057416267942,44.72129186602871,25.636363636363637,8.120813397129186,4.582535885167464,13.41866028708134,19.014354066985646,-1.9796650717703348
10,BKN,22014,98.02439024390245,242.9878048780488,37.42682926829268,82.97560975609755,0.4522682926829269,6.597560975609756,19.914634146341463,0.32719512195121947,16.573170731707314,22.15853658536585,0.7481219512195122,10.317073170731707,32.036585365853654,42.35365853658537,20.926829268292682,7.024390243902439,4.146341463414634,13.390243902439025,19.25609756097561,-2.8780487804878048
11,BKN,22015,98.64634146341463,241.0609756097561,38.24390243902439,84.39024390243902,0.4539878048780488,6.475609756097561,18.390243902439025,0.3484390243902439,15.682926829268293,20.71951219512195,0.7521341463414635,10.524390243902438,31.878048780487806,42.40243902439025,22.304878048780488,7.646341463414634,4.048780487804878,14.317073170731707,18.0,-7.378048780487806
12,BKN,22016,105.76829268292683,241.08536585365854,37.829268292682926,85.20731707317074,0.44541463414634147,10.695121951219512,31.597560975609756,0.33720731707317075,19.414634146341463,24.634146341463413,0.787280487804878,8.792682926829269,35.109756097560975,43.90243902439025,21.414634146341463,7.231707317073171,4.7195121951219505,15.939024390243903,21.048780487804876,-6.7317073170731705
13,BKN,22017,106.59756097560975,242.1707317073171,38.24390243902439,86.7560975609756,0.44214634146341464,12.695121951219512,35.65853658536585,0.35589024390243906,17.414634146341463,22.5609756097561,0.7791463414634145,9.658536585365855,34.78048780487805,44.4390243902439,23.670731707317074,6.2439024390243905,4.7560975609756095,14.23170731707317,20.585365853658537,-3.6829268292682924
14,BKN,22018,112.2439024390244,243.7317073170732,40.256097560975604,89.73170731707317,0.4496219512195122,12.76829268292683,36.15853658536585,0.35278048780487803,18.96341463414634,25.46341463414634,0.746719512195122,10.975609756097562,35.59756097560975,46.57317073170732,23.829268292682926,6.573170731707316,4.134146341463415,14.402439024390244,21.5,0.07804878048780473
