Player_ID,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
1629027,36,15,29,0.517,7,15,0.467,1,2,0.5,1,4,5,11,1,0,8,2,38,14
1629027,38,11,21,0.524,7,12,0.583,6,6,1.0,0,4,4,10,0,1,5,3,35,-9
1629027,38,8,17,0.471,4,11,0.364,11,12,0.917,0,4,4,15,0,0,5,3,31,16
1629027,36,10,18,0.556,5,8,0.625,5,7,0.714,0,4,4,14,1,0,4,4,30,11
1629027,40,10,22,0.455,7,13,0.538,3,3,1.0,0,3,3,13,2,0,6,1,30,-11
1629027,41,11,24,0.458,3,10,0.3,5,7,0.714,0,5,5,13,1,1,2,3,30,2
1629631,31,3,10,0.3,0,2,0.0,6,6,1.0,0,1,1,0,2,0,2,2,12,6
1629631,36,6,15,0.4,1,3,0.333,1,1,1.0,0,4,4,2,0,0,1,1,14,3
1629631,37,9,18,0.5,4,7,0.571,2,2,1.0,1,6,7,1,0,0,3,2,24,-13
1629631,26,5,7,0.714,2,2,1.0,6,6,1.0,0,2,2,0,1,0,0,1,18,-3
1629631,29,7,15,0.467,5,6,0.833,0,0,0.0,1,5,6,2,1,2,4,5,19,9
1629631,28,5,10,0.5,1,4,0.25,0,0,0.0,0,1,1,3,0,0,0,2,11,-19
1629631,33,8,16,0.5,2,7,0.286,5,6,0.833,0,7,7,3,2,0,5,5,23,3
1629631,30,1,3,0.333,1,2,0.5,1,2,0.5,1,4,5,1,0,1,2,3,4,17
1629631,33,2,13,0.154,1,7,0.143,3,4,0.75,0,2,2,0,0,0,0,2,8,-3
1629631,26,3,9,0.333,2,5,0.4,4,5,0.8,0,0,0,1,1,1,2,4,12,6
203992,25,6,18,0.333,2,7,0.286,0,0,0.0,0,3,3,0,2,1,0,2,14,-7
203992,27,7,14,0.5,4,9,0.444,2,2,1.0,0,4,4,1,0,0,0,2,20,-6
203992,39,7,17,0.412,3,11,0.273,3,3,1.0,1,8,9,2,1,0,2,5,20,-3
203992,36,14,24,0.583,10,17,0.588,2,2,1.0,1,2,3,3,2,0,1,4,40,-2
203992,32,7,13,0.538,4,7,0.571,2,3,0.667,1,2,3,5,4,0,1,4,20,5
203992,33,7,16,0.438,3,7,0.429,3,3,1.0,0,3,3,6,0,0,0,2,20,21
203992,30,8,14,0.571,4,8,0.5,2,2,1.0,0,4,4,5,1,1,0,3,22,14
203992,35,8,24,0.333,6,18,0.333,1,2,0.5,1,1,2,5,1,0,0,3,23,-8
203992,34,6,15,0.4,2,8,0.25,2,3,0.667,1,3,4,3,0,0,0,2,16,-1
203992,31,8,21,0.381,3,12,0.25,3,3,1.0,1,2,3,1,0,0,0,2,22,3
1631100,9,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,1,0,0,0,1,0,1
1631100,7,1,3,0.333,1,3,0.333,0,0,0.0,0,0,0,0,0,0,2,0,3,-2
1631100,4,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,1,0,0,2,2
1631100,5,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0,1
1631100,12,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-14
1631100,10,1,2,0.5,0,1,0.0,0,0,0.0,0,0,0,0,0,0,2,1,2,-11
1631100,8,1,3,0.333,1,3,0.333,2,2,1.0,0,0,0,0,0,0,0,2,5,1
1631100,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,10
1631100,6,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,0,0,0,0,0,6,-4
1631100,12,0,5,0.0,0,3,0.0,0,0,0.0,0,4,4,1,0,0,0,0,0,7
203991,30,4,13,0.308,0,0,0.0,2,2,1.0,8,9,17,4,1,3,2,4,10,1
203991,29,4,6,0.667,0,0,0.0,1,2,0.5,4,8,12,1,0,2,1,5,9,3
203991,30,6,12,0.5,0,0,0.0,3,4,0.75,10,6,16,2,0,1,2,5,15,-10
203991,28,6,11,0.545,0,0,0.0,2,2,1.0,4,4,8,2,1,0,0,5,14,-3
203991,34,7,12,0.583,0,0,0.0,3,4,0.75,6,4,10,1,0,3,0,3,17,-17
203991,35,9,12,0.75,0,0,0.0,0,0,0.0,6,9,15,0,0,3,1,2,18,20
